date,region,product,revenue,cost,profit,units_sold,sales_rep
2022-01-03,North,Enterprise Suite,41355,25711,15644,54,Emma Wilson
2022-02-21,South,Pro License,15070,9722,5348,19,Carol Lee
2022-03-22,North,Analytics Add-on,9179,4957,4222,14,Bob Martinez
2022-04-23,Central,Data Module,14958,8657,6301,22,Alice Johnson
2022-05-16,North,Enterprise Suite,42574,23880,18694,50,David Kim
2022-06-12,South,Analytics Add-on,9054,5218,3836,10,Alice Johnson
2022-07-19,Central,Pro License,19950,12541,7409,23,Grace Patel
2022-08-08,South,Data Module,9807,5328,4479,13,Emma Wilson
2022-09-13,North,Pro License,16463,9860,6603,19,Grace Patel
2022-10-02,East,Starter Pack,4362,2286,2076,7,Carol Lee
2022-11-19,South,Starter Pack,4993,2721,2272,3,Bob Martinez
2022-12-02,North,Data Module,13171,7078,6093,18,Bob Martinez
2023-01-17,East,Starter Pack,6104,3219,2885,8,Emma Wilson
2023-02-18,North,Data Module,15127,7229,7898,20,Bob Martinez
2023-03-19,West,Enterprise Suite,53701,31306,22395,62,Emma Wilson
2023-03-27,Central,Starter Pack,6061,3283,2778,5,David Kim
2023-04-27,North,Enterprise Suite,60936,35567,25369,79,David Kim
2023-05-29,East,Enterprise Suite,37015,22320,14695,46,David Kim
2023-07-10,North,Data Module,12380,6323,6057,14,Emma Wilson
2023-08-09,West,Starter Pack,4404,2170,2234,4,Carol Lee
2023-09-20,East,Starter Pack,3740,1726,2014,6,David Kim
2023-10-16,East,Enterprise Suite,40115,23362,16753,48,Carol Lee
2023-11-06,Central,Pro License,18339,9743,8596,24,Carol Lee
2023-12-13,West,Data Module,10808,4912,5896,12,Emma Wilson
2024-01-12,Central,Pro License,20664,9965,10699,25,Frank Chen
2024-02-10,North,Pro License,21636,12749,8887,29,Alice Johnson
2024-02-24,East,Data Module,12796,7371,5425,10,Emma Wilson
2024-03-31,North,Pro License,16792,7952,8840,17,Frank Chen
2024-04-30,South,Data Module,11928,6001,5927,18,Grace Patel
2024-06-14,West,Pro License,17038,10109,6929,18,Emma Wilson
2024-07-09,South,Pro License,14084,8880,5204,20,Emma Wilson
2024-07-26,Central,Data Module,7990,4084,3906,10,Grace Patel
2024-09-02,East,Pro License,11395,6856,4539,12,Carol Lee
2024-09-21,Central,Data Module,10618,6110,4508,18,Bob Martinez
2024-10-19,North,Enterprise Suite,32245,17191,15054,40,Carol Lee
2024-12-04,South,Data Module,14446,7453,6993,19,Bob Martinez
2022-01-19,West,Data Module,10760,5209,5551,10,Henry Brown
2022-02-02,Central,Starter Pack,5892,3060,2832,9,Alice Johnson
2022-03-10,North,Analytics Add-on,7435,4062,3373,10,Emma Wilson
2022-04-01,East,Enterprise Suite,56503,30925,25578,79,Emma Wilson
2022-05-13,West,Pro License,16678,9084,7594,21,Henry Brown
2022-06-26,North,Starter Pack,4829,2675,2154,4,Carol Lee
2022-07-07,Central,Enterprise Suite,48820,30719,18101,60,Emma Wilson
2022-07-30,Central,Analytics Add-on,6157,2904,3253,6,David Kim
2022-09-01,South,Starter Pack,4906,2921,1985,6,Carol Lee
2022-10-05,Central,Analytics Add-on,8140,5154,2986,6,Alice Johnson
2022-11-03,Central,Starter Pack,4489,2353,2136,3,Henry Brown
2022-11-28,North,Enterprise Suite,47284,24276,23008,61,Frank Chen
2023-01-13,East,Pro License,18927,9486,9441,21,Alice Johnson
2023-02-03,South,Analytics Add-on,9574,4394,5180,8,Bob Martinez
2023-03-24,North,Data Module,14110,8462,5648,18,Bob Martinez
2023-04-23,Central,Pro License,20017,11084,8933,28,Carol Lee
2023-04-26,West,Analytics Add-on,8546,4484,4062,11,Carol Lee
